# tau_n,Omegabh2,p_npdg,p_dpHe3g,Yp,DoH,He3oH,Li7oH
8.795658e+02,2.235046e-02,1.123095e+00,-1.549257e+00,2.470546e-01,2.545610e+00,1.032357e+00,5.260392e+00
8.785523e+02,2.216263e-02,-4.499521e-02,-5.108346e-01,2.467691e-01,2.561994e+00,1.044894e+00,5.215054e+00
8.780139e+02,2.219921e-02,-1.960846e+00,-1.073702e+00,2.466594e-01,2.572205e+00,1.038506e+00,5.118406e+00
8.794326e+02,2.252161e-02,7.059697e-01,-1.726607e+00,2.471032e-01,2.522279e+00,1.026653e+00,5.312260e+00
8.791169e+02,2.221862e-02,-1.659888e+00,-7.956788e-01,2.468987e-01,2.564360e+00,1.040832e+00,5.162282e+00
8.796756e+02,2.236933e-02,3.087993e-01,-1.047092e+00,2.470867e-01,2.533801e+00,1.035586e+00,5.288711e+00
8.798212e+02,2.201932e-02,-8.874638e-01,5.837865e-01,2.469645e-01,2.572979e+00,1.058088e+00,5.201738e+00
8.794829e+02,2.257935e-02,-1.159839e+00,6.010918e-01,2.471346e-01,2.472584e+00,1.044152e+00,5.480686e+00
8.798561e+02,2.239040e-02,-4.419100e-01,-9.038793e-01,2.471305e-01,2.533168e+00,1.036341e+00,5.278623e+00
8.795375e+02,2.227263e-02,-1.832976e-01,-2.602286e-01,2.470161e-01,2.539444e+00,1.044565e+00,5.286185e+00
8.797180e+02,2.238633e-02,-6.442083e-01,-1.858243e+00,2.470943e-01,2.551193e+00,1.028130e+00,5.197695e+00
8.789772e+02,2.208853e-02,5.887033e-01,-4.943400e-01,2.468255e-01,2.577571e+00,1.047566e+00,5.194376e+00
8.792922e+02,2.247738e-02,-4.460694e-01,3.989819e-01,2.470494e-01,2.491173e+00,1.045028e+00,5.435987e+00
8.795181e+02,2.225140e-02,9.801909e-01,8.249379e-01,2.470076e-01,2.521071e+00,1.055298e+00,5.400931e+00
8.798923e+02,2.226939e-02,2.811732e-01,-7.130471e-01,2.470921e-01,2.550254e+00,1.041313e+00,5.256178e+00
8.791638e+02,2.222625e-02,-6.975572e-01,1.051855e+00,2.469198e-01,2.521779e+00,1.056754e+00,5.353745e+00
8.797127e+02,2.221290e-02,-8.659399e-01,-1.515692e+00,2.470201e-01,2.577237e+00,1.035213e+00,5.131738e+00
8.792405e+02,2.240420e-02,-1.647496e+00,-1.247628e+00,2.470011e-01,2.537718e+00,1.032117e+00,5.221418e+00
8.793295e+02,2.233839e-02,2.907332e-01,7.096619e-01,2.470029e-01,2.504053e+00,1.051524e+00,5.421313e+00
8.798977e+02,2.239776e-02,-3.545875e-01,1.671121e+00,2.471525e-01,2.479712e+00,1.058654e+00,5.510171e+00
8.782042e+02,2.229868e-02,-2.372196e+00,4.934320e-01,2.467383e-01,2.524442e+00,1.049074e+00,5.287434e+00
8.786221e+02,2.237698e-02,-5.357149e-01,-4.034239e-02,2.468719e-01,2.516491e+00,1.043534e+00,5.344626e+00
8.785107e+02,2.223717e-02,-9.010340e-01,-2.195184e+00,2.467825e-01,2.586212e+00,1.028904e+00,5.084154e+00
8.779998e+02,2.263446e-02,1.575678e+00,-2.022447e+00,2.468640e-01,2.502599e+00,1.021299e+00,5.376205e+00
8.789930e+02,2.206481e-02,-1.702779e+00,1.294095e-01,2.468083e-01,2.574285e+00,1.052461e+00,5.161077e+00
8.798497e+02,2.248914e-02,-1.441351e+00,-3.580627e-01,2.471631e-01,2.506242e+00,1.037655e+00,5.349118e+00
8.792291e+02,2.250519e-02,1.109970e+00,-1.105835e+00,2.470599e-01,2.514544e+00,1.032502e+00,5.366682e+00
8.795187e+02,2.217218e-02,1.356763e+00,6.553258e-02,2.469720e-01,2.550052e+00,1.050970e+00,5.308058e+00
